,id,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,last_tweet,is_active,end_date,twitter_id,mastodon,serving_current_chamber_since,serving_congress_since
24,643,Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,0,1,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866,N00027658,S331,"H6NY20167,S0NY00410",1022862,412223,65147,Kirsten Gillibrand,,20735,Kirsten Gillibrand,,,,8.999786224166953e17,,2011-01-03,2007-01-03
25,644,Coons,Christopher,Andrew,,,Christopher A. Coons,1963-09-09,M,sen,DE,0,2,Democrat,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,ChrisCoons,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984,N00031820,S337,S0DE00092,9269028,412390,122834,Chris Coons,,40916,Chris Coons,,,,15324851,,2009-01-03,2009-01-03
26,645,Manchin,Joe,,III,,"Joe Manchin, III",1947-08-24,M,sen,WV,0,1,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,https://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,1983,N00032838,S338,S0WV00090,62864,412391,7547,Joe Manchin III,,40915,Joe Manchin,,,,234374703,,2009-01-03,2009-01-03
27,646,Aderholt,Robert,B.,,,Robert B. Aderholt,1965-07-22,M,rep,AL,4,0,Republican,https://aderholt.house.gov,266 Cannon House Office Building Washington DC 20515-0104,202-225-4876,,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,1460,N00003028,,H6AL04098,45516,400004,441,Robert B. Aderholt,,29701,Robert Aderholt,,,,76452765,,1997-01-03,1997-01-03
28,647,Baldwin,Tammy,,,,Tammy Baldwin,1962-02-11,F,sen,WI,0,1,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,1558,N00004367,S354,"H8WI00018,S2WI00219",57884,400013,3470,Tammy Baldwin,,29940,Tammy Baldwin,,,,1074518754,,2013-01-03,1999-01-03
29,648,Bennet,Michael,F.,,,Michael F. Bennet,1964-11-28,M,sen,CO,0,3,Democrat,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,http://www.bennet.senate.gov/rss/feeds/?type=news,SenatorBennet,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965,N00030608,S330,S0CO00211,1031622,412330,110942,Michael Bennet,,40910,Michael Bennet,,,,224285242,,2009-01-03,2009-01-03
30,649,Bilirakis,Gus,M.,,,Gus M. Bilirakis,1963-02-08,M,rep,FL,12,0,Republican,https://bilirakis.house.gov,2306 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,1838,N00027462,,H6FL09070,1022873,412250,17318,Gus M. Bilirakis,,20758,Gus Bilirakis,,,,26051676,,2007-01-03,2007-01-03
31,650,Bishop,Sanford,D.,Jr.,,"Sanford D. Bishop, Jr.",1947-02-04,M,rep,GA,2,0,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,,http://bishop.house.gov/rss.xml,SanfordBishop,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,91,N00002674,,H2GA02031,26194,400030,26817,Sanford Bishop Jr.,,29339,Sanford Bishop,,,,249410485,,1993-01-03,1993-01-03
32,651,Blackburn,Marsha,W.,,,Marsha Blackburn,1952-06-06,F,sen,TN,0,1,Republican,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.blackburn.senate.gov/email-me,,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,1748,N00003105,S396,"H2TN06030,S8TN00337",31226,400032,25186,Marsha Blackburn,,20351,Marsha Blackburn,,,,278145569,,2019-01-03,2003-01-03
33,652,Blumenauer,Earl,,,,Earl Blumenauer,1948-08-16,M,rep,OR,3,0,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811,,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,99,N00007727,,H6OR03064,43809,400033,367,Earl Blumenauer,,29588,Earl Blumenauer,,,,137823987,,1995-01-03,1995-01-03
34,653,Blumenthal,Richard,,,,Richard Blumenthal,1946-02-13,M,sen,CT,0,3,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076,N00031685,S341,S0CT00177,21799,412490,1568,Richard Blumenthal,,41101,Richard Blumenthal,,,,278124059,,2011-01-03,2011-01-03
35,654,Boozman,John,,,,John Boozman,1950-12-10,M,sen,AR,0,3,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,1687,N00013873,S343,"H2AR03176,S0AR00150",92069,400040,27958,John Boozman,,20101,John Boozman,,,,5558312,,2011-01-03,2001-01-03
36,655,Buchanan,Vern,,,,Vern Buchanan,1951-05-08,M,rep,FL,16,0,Republican,https://buchanan.house.gov,2110 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,VernBuchanan,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,B001260,1840,N00027626,,H6FL13148,1021626,412196,66247,Vern Buchanan,,20709,Vern Buchanan,,,,20467163,,2007-01-03,2007-01-03
37,656,Bucshon,Larry,,,,Larry Bucshon,1962-05-31,M,rep,IN,8,0,Republican,https://bucshon.house.gov,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636,,http://bucshon.house.gov/rss.xml,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,B001275,2018,N00031227,,H0IN08114,61837,412427,120335,Larry Bucshon,,21132,Larry Bucshon,,,,234812598,,2011-01-03,2011-01-03
38,657,Burgess,Michael,C.,,,Michael C. Burgess,1950-12-23,M,rep,TX,26,0,Republican,https://burgess.house.gov,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772,,http://burgess.house.gov/news/rss.aspx,MichaelCBurgess,michaelcburgess,michaelcburgessmd,UCvvO8lo-Nkc31cEEElqQvQw,B001248,1751,N00025219,,H2TX26093,1003620,400052,50120,,,20355,Michael C. Burgess,,,,15751083,,2003-01-03,2003-01-03
39,658,Calvert,Ken,S.,,,Ken Calvert,1953-06-08,M,rep,CA,41,0,Republican,https://calvert.house.gov,2205 Rayburn House Office Building Washington DC 20515-0541,202-225-1986,,http://calvert.house.gov/news/rss.aspx,KenCalvert,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,C000059,165,N00007099,,H2CA37023,26709,400057,26777,Ken Calvert,,29323,Ken Calvert,,,,22545491,,1993-01-03,1993-01-03
40,659,Capito,Shelley,Moore,,,Shelley Moore Capito,1953-11-26,F,sen,WV,0,2,Republican,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley,,SenCapito,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,C001047,1676,N00009771,S372,"H0WV02138,S4WV00159",83737,400061,11701,Shelley Moore Capito,,20146,Shelley Moore Capito,,,,193794406,,2015-01-03,2001-01-03
41,660,Carson,André,,,,André Carson,1974-10-16,M,rep,IN,7,0,Democrat,https://carson.house.gov,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,,http://carson.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,RepAndreCarson,CongressmanAndreCarson,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw,C001072,1889,N00029513,,H8IN07184,1027364,412258,84917,Andre Carson,,20757,André Carson,,,,199325935,,2007-01-03,2007-01-03
42,661,Carter,John,R.,,,John R. Carter,1941-11-06,M,rep,TX,31,0,Republican,https://carter.house.gov,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,,http://carter.house.gov/common/rss/?rss=40,JudgeCarter,judgecarter,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w,C001051,1752,N00025095,,H2TX31044,1004257,400068,49296,John Carter,,20356,John Carter (Texas politician),,,,18030431,,2003-01-03,2003-01-03
43,662,Cassidy,Bill,,,,Bill Cassidy,1957-09-28,M,sen,LA,0,2,Republican,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact,,SenBillCassidy,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,C001075,1925,N00030245,S373,"H8LA00017,S4LA00107",1030546,412269,69494,Bill Cassidy,,20919,Bill Cassidy,,,,1.0175001853568532e18,,2015-01-03,2009-01-03
44,663,Castor,Kathy,,,,Kathy Castor,1966-08-20,F,rep,FL,14,0,Democrat,https://castor.house.gov,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,,http://castor.house.gov/news/rss.aspx,USRepKCastor,USRepKathyCastor,RepKathyCastor,UC_irxhmLqVenTFPxDxznG6g,C001066,1839,N00027514,,"H6FL11126,H6FL11134",1022874,412195,53825,Kathy Castor,,20708,Kathy Castor,,,,1880674038,,2007-01-03,2007-01-03
45,664,Chu,Judy,M.,,,Judy Chu,1953-07-07,F,rep,CA,28,0,Democrat,https://chu.house.gov,2423 Rayburn House Office Building Washington DC 20515-0528,202-225-5464,,http://chu.house.gov/rss.xml,RepJudyChu,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,C001080,1970,N00030600,,H0CA32101,92573,412379,16539,Judy Chu,,20955,Judy Chu,,,,193732179,,2009-01-03,2009-01-03
46,665,Cicilline,David,N.,,,David N. Cicilline,1961-07-15,M,rep,RI,1,0,Democrat,https://cicilline.house.gov,2233 Rayburn House Office Building Washington DC 20515-3901,202-225-4911,,http://cicilline.house.gov/rss.xml,RepCicilline,CongressmanDavidCicilline,RepDavidCicilline,UC3sCl46o8hYP69LnidNltuw,C001084,2055,N00032019,,H0RI01073,1033865,412470,7349,David N. Cicilline,,21172,David Cicilline,,,,462143773,,2011-01-03,2011-01-03
47,666,Clarke,Yvette,D.,,,Yvette D. Clarke,1964-11-21,F,rep,NY,9,0,Democrat,https://clarke.house.gov,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231,,http://clarke.house.gov/news/rss.aspx,RepYvetteClarke,repyvettedclarke,repyvetteclarke,UC8SuQiuL2P9fUHAxuRoTdUQ,C001067,1864,N00026961,,H4NY11138,1022875,412221,44741,Yvette D. Clarke,,20733,Yvette Clarke,,,,240812994,,2007-01-03,2007-01-03
48,667,Cleaver,Emanuel,,II,,Emanuel Cleaver,1944-10-26,M,rep,MO,5,0,Democrat,https://cleaver.house.gov,2217 Rayburn House Office Building Washington DC 20515-2505,202-225-4535,,http://cleaver.house.gov/rss.xml,RepCleaver,emanuelcleaverii,repcleaver,UCVC-7CLFjXczoihr5FxDLsw,C001061,1790,N00026790,,H4MO05234,10933,400639,39507,Emanuel Cleaver,,20517,Emanuel Cleaver,,,,163570705,,2005-01-03,2005-01-03
49,668,Clyburn,James,E.,,Jim,James E. Clyburn,1940-07-21,M,rep,SC,6,0,Democrat,https://clyburn.house.gov,274 Cannon House Office Building Washington DC 20515-4006,202-225-3315,,http://clyburn.house.gov/rss.xml,RepJamesClyburn,jameseclyburn,repjamesclyburn,UCIyU_UA_JEa14gvAwhquKqg,C000537,208,N00002408,,H2SC02042,21607,400075,27066,James E. Clyburn,,39301,Jim Clyburn,,,,188019606,,1993-01-03,1993-01-03
50,669,Cohen,Steve,,,,Steve Cohen,1949-05-24,M,rep,TN,9,0,Democrat,https://cohen.house.gov,2268 Rayburn House Office Building Washington DC 20515-4209,202-225-3265,,http://cohen.house.gov/rss.xml,RepCohen,CongressmanSteveCohen,repcohen,UC_NJlnsOBjOameUwZk0rvsA,C001068,1878,N00003225,,H6TN09068,1022876,412236,24340,Steve Cohen,,20748,Steve Cohen (politician),,,,162069635,,2007-01-03,2007-01-03
51,670,Cole,Tom,,,,Tom Cole,1949-04-28,M,rep,OK,4,0,Republican,https://cole.house.gov,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165,,http://cole.house.gov/rss.xml,TomColeOK04,TomColeOK04,reptomcole,UCvqzPm_YnNkfEHpm3SEMJMQ,C001053,1742,N00025726,,H2OK04055,1003609,400077,46034,Tom Cole,,20344,Tom Cole,,,,23124635,,2003-01-03,2003-01-03
