,id,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,last_tweet,is_active,end_date,twitter_id
10,11,Tester,Jon,,,,Jon Tester,8/21/56,M,sen,MT,0,1,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829.0,N00027605,S314,S6MT00162,1020176,412244,20928,Jon Tester,,40702,Jon Tester,1663302205795958790,1,2022-12-31,515822213
11,12,Whitehouse,Sheldon,,,,Sheldon Whitehouse,10/20/55,M,sen,RI,0,1,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823.0,N00027533,S316,S6RI00221,92235,412247,2572,Sheldon Whitehouse,,40704,Sheldon Whitehouse,1663200728586887176,1,2022-12-31,242555999
12,13,Barrasso,John,A.,,,John Barrasso,7/21/52,M,sen,WY,0,1,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881.0,N00006236,S317,S6WY00068,1024777,412251,52662,John Barrasso,,40707,John Barrasso,1663305363364491265,1,2022-12-31,202206694
13,14,Wicker,Roger,F.,,,Roger F. Wicker,7/5/51,M,sen,MS,0,1,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226.0,N00003280,S318,"H4MS01078,S8MS00196",18203,400432,21926,Roger Wicker,,29534,Roger Wicker,1663298075736039424,1,2022-12-31,264219447
14,15,Collins,Susan,M.,,,Susan M. Collins,12/7/52,F,sen,ME,0,2,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,https://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541.0,N00000491,S252,S6ME00159,45738,300025,379,Susan Collins,,49703,Susan Collins,1652002773414686745,1,2022-12-31,19726613
15,16,Cornyn,John,,,,John Cornyn,2/2/52,M,sen,TX,0,2,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692.0,N00024852,S287,S2TX00106,93131,300027,15375,John Cornyn,,40305,John Cornyn,1663219014250659840,1,2022-12-31,13218102
16,17,Durbin,Richard,J.,,,Richard J. Durbin,11/21/44,M,sen,IL,0,2,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326.0,N00004981,S253,"S6IL00151,H2IL20026",6741,300038,26847,Dick Durbin,,15021,Dick Durbin,1663191752470155264,1,2022-12-31,247334603
17,18,Graham,Lindsey,O.,,,Lindsey Graham,7/9/55,M,sen,SC,0,2,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452.0,N00009975,S293,"S0SC00149,H4SC03087",36782,300047,21992,Lindsey Graham,,29566,Lindsey Graham,,1,2022-12-31,14845376
18,19,Inhofe,James,M.,,Jim,James M. Inhofe,11/17/34,M,sen,OK,0,2,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c,JimInhofe,jiminhofe,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,583.0,N00005582,S236,"S4OK00083,H6OK01102",5619,300055,27027,Jim Inhofe,,15424,Jim Inhofe,1607013293402497025,0,2022-12-31,7270292
19,20,McConnell,Mitch,,,,Mitch McConnell,2/20/42,M,sen,KY,0,2,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,M000355,1395.0,N00003389,S174,S2KY00012,2351,300072,53298,Mitch McConnell,,14921,Mitch McConnell,1662967495609688064,1,2022-12-31,339822881
20,21,Merkley,Jeff,,,,Jeff Merkley,10/24/56,M,sen,OR,0,2,Democrat,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-3753,https://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900.0,N00029303,S322,S8OR00207,1029842,412325,23644,Jeff Merkley,,40908,Jeff Merkley,1663185572788142085,1,2022-12-31,29201047
21,22,Reed,John,F.,,Jack,Jack Reed,11/12/49,M,sen,RI,0,2,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949.0,N00000362,S259,"S6RI00163,H0RI02071",24239,300081,27060,Jack Reed,,29142,Jack Reed (Rhode Island politician),1663271960200003585,1,2022-12-31,486694111
22,23,Risch,James,E.,,,James E. Risch,5/3/43,M,sen,ID,0,2,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,https://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896.0,N00029441,S323,S8ID00092,1020034,412322,2919,Jim Risch,,40902,Jim Risch,1663168321234284544,1,2022-12-31,1096059529
23,24,Shaheen,Jeanne,,,,Jeanne Shaheen,1/28/47,F,sen,NH,0,2,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901.0,N00024790,S324,S0NH00219,22850,412323,1663,Jeanne Shaheen,,40906,Jeanne Shaheen,1663185172500566016,1,2022-12-31,109287731
24,25,Warner,Mark,R.,,,Mark R. Warner,12/15/54,M,sen,VA,0,2,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,https://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897.0,N00002097,S327,"S6VA00093,P80003023",7630,412321,535,Mark Warner,,40909,Mark Warner,1663202285076504579,1,2022-12-31,7429102
25,26,Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,12/9/66,F,sen,NY,0,1,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866.0,N00027658,S331,"H6NY20167,S0NY00410",1022862,412223,65147,Kirsten Gillibrand,,20735,Kirsten Gillibrand,1663282000214515712,1,2022-12-31,899978622416695297
26,27,Coons,Christopher,Andrew,,,Christopher A. Coons,9/9/63,M,sen,DE,0,2,Democrat,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,ChrisCoons,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984.0,N00031820,S337,S0DE00092,9269028,412390,122834,Chris Coons,,40916,Chris Coons,1663177953327423488,1,2022-12-31,15324851
27,28,Manchin,Joe,,III,,"Joe Manchin, III",8/24/47,M,sen,WV,0,1,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,https://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,1983.0,N00032838,S338,S0WV00090,62864,412391,7547,Joe Manchin III,,40915,Joe Manchin,1663153215766945794,1,2022-12-31,234374703
28,29,Aderholt,Robert,B.,,,Robert B. Aderholt,7/22/65,M,rep,AL,4,0,Republican,https://aderholt.house.gov,266 Cannon House Office Building Washington DC 20515-0104,202-225-4876,,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,1460.0,N00003028,,H6AL04098,45516,400004,441,Robert B. Aderholt,,29701,Robert Aderholt,1663255463184433159,1,2022-12-31,76452765
29,30,Baldwin,Tammy,,,,Tammy Baldwin,2/11/62,F,sen,WI,0,1,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,1558.0,N00004367,S354,"H8WI00018,S2WI00219",57884,400013,3470,Tammy Baldwin,,29940,Tammy Baldwin,1663194064110383105,1,2022-12-31,1074518754
30,31,Bass,Karen,,,,Karen Bass,10/3/53,F,rep,CA,37,0,Democrat,https://bass.house.gov,2021 Rayburn House Office Building Washington DC 20515-0537,202-225-7084,,http://bass.house.gov/rss.xml,RepKarenBass,RepKarenBass,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,1996.0,N00031877,,H0CA33117,62502,412404,28963,Karen Bass,,21110,Karen Bass,1598546552410492929,0,2022-12-31,239949176
31,32,Bennet,Michael,F.,,,Michael F. Bennet,11/28/64,M,sen,CO,0,3,Democrat,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,http://www.bennet.senate.gov/rss/feeds/?type=news,SenatorBennet,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965.0,N00030608,S330,S0CO00211,1031622,412330,110942,Michael Bennet,,40910,Michael Bennet,1663171079471509505,1,2022-12-31,224285242
32,33,Bilirakis,Gus,M.,,,Gus M. Bilirakis,2/8/63,M,rep,FL,12,0,Republican,https://bilirakis.house.gov,2354 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,1838.0,N00027462,,H6FL09070,1022873,412250,17318,Gus M. Bilirakis,,20758,Gus Bilirakis,1663239278904606733,1,2022-12-31,26051676
33,34,Bishop,Sanford,D.,Jr.,,"Sanford D. Bishop, Jr.",2/4/47,M,rep,GA,2,0,Democrat,https://bishop.house.gov,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,,http://bishop.house.gov/rss.xml,SanfordBishop,sanfordbishop,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,91.0,N00002674,,H2GA02031,26194,400030,26817,Sanford Bishop Jr.,,29339,Sanford Bishop,1663183427066032131,1,2022-12-31,249410485
34,35,Blackburn,Marsha,W.,,,Marsha Blackburn,6/6/52,F,sen,TN,0,1,Republican,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.blackburn.senate.gov/email-me,,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,1748.0,N00003105,S396,"H2TN06030,S8TN00337",31226,400032,25186,Marsha Blackburn,,20351,Marsha Blackburn,1663321507924197376,1,2022-12-31,278145569
35,36,Blumenauer,Earl,,,,Earl Blumenauer,8/16/48,M,rep,OR,3,0,Democrat,https://blumenauer.house.gov,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811,,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,99.0,N00007727,,H6OR03064,43809,400033,367,Earl Blumenauer,,29588,Earl Blumenauer,,1,2022-12-31,137823987
36,37,Blumenthal,Richard,,,,Richard Blumenthal,2/13/46,M,sen,CT,0,3,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076.0,N00031685,S341,S0CT00177,21799,412490,1568,Richard Blumenthal,,41101,Richard Blumenthal,1663320467300577282,1,2022-12-31,278124059
37,38,Blunt,Roy,,,,Roy Blunt,1/10/50,M,sen,MO,0,3,Republican,https://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,http://www.blunt.senate.gov/public/?a=rss.feed,RoyBlunt,SenatorBlunt,SenatorBlunt,UCFeLRzjhThTmaWzuh5qjpGA,B000575,1464.0,N00005195,S342,"H6MO07128,S0MO00183",45465,400034,418,Roy Blunt,,29735,Roy Blunt,1607018813265960960,0,2022-12-31,21269970
38,39,Boozman,John,,,,John Boozman,12/10/50,M,sen,AR,0,3,Republican,https://www.boozman.senate.gov/public,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,B001236,1687.0,N00013873,S343,"H2AR03176,S0AR00150",92069,400040,27958,John Boozman,,20101,John Boozman,1663181425854521346,1,2022-12-31,5558312
39,40,Brady,Kevin,P.,,,Kevin Brady,4/11/55,M,rep,TX,8,0,Republican,https://kevinbrady.house.gov,1011 Longworth House Office Building Washington DC 20515-4308,202-225-4901,,http://kevinbrady.house.gov/common/rss/index.cfm?rss=49,RepKevinBrady,kevinbrady,KBrady8,UC6Ng0uMQEBVgXO_HF0NbfXA,B000755,1468.0,N00005883,,H6TX08100,45749,400046,361,Kevin Brady (Texas),,29760,Kevin Brady,1608114350182600704,0,2022-12-31,19926675
40,41,Brooks,Mo,,,,Mo Brooks,4/29/54,M,rep,AL,5,0,Republican,https://brooks.house.gov,2185 Rayburn House Office Building Washington DC 20515-0105,202-225-4801,,http://brooks.house.gov/rss/press-releases.xml,RepMoBrooks,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,B001274,1987.0,N00030910,,H0AL05163,94888,412395,121610,Mo Brooks,,21193,Mo Brooks,1606640916244070400,0,2022-12-31,237299871
41,42,Buchanan,Vern,,,,Vern Buchanan,5/8/51,M,rep,FL,16,0,Republican,https://buchanan.house.gov,2110 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,,http://buchanan.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=2,VernBuchanan,CongressmanBuchanan,vernbuchanan,UCY4DEy41NxOTdcF8_XAVZvw,B001260,1840.0,N00027626,,H6FL13148,1021626,412196,66247,Vern Buchanan,,20709,Vern Buchanan,1663198520910790657,1,2022-12-31,20467163
42,43,Bucshon,Larry,,,,Larry Bucshon,5/31/62,M,rep,IN,8,0,Republican,https://bucshon.house.gov,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636,,http://bucshon.house.gov/rss.xml,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,UC0bIliQs0LKZabNwvZ3gnhQ,B001275,2018.0,N00031227,,H0IN08114,61837,412427,120335,Larry Bucshon,,21132,Larry Bucshon,1663259568153976832,1,2022-12-31,234812598
43,44,Burgess,Michael,C.,,,Michael C. Burgess,12/23/50,M,rep,TX,26,0,Republican,https://burgess.house.gov,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772,,http://burgess.house.gov/news/rss.aspx,MichaelCBurgess,michaelcburgess,michaelcburgessmd,UCvvO8lo-Nkc31cEEElqQvQw,B001248,1751.0,N00025219,,H2TX26093,1003620,400052,50120,,,20355,Michael C. Burgess,1663211009895440384,1,2022-12-31,15751083
44,45,Burr,Richard,M.,,,Richard Burr,11/30/55,M,sen,NC,0,3,Republican,https://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,https://www.burr.senate.gov/contact,http://www.burr.senate.gov/public/index.cfm?fuseaction=rss.feed,SenatorBurr,SenatorRichardBurr,SenatorRichardBurr,UCOLLZpp-1womBSFDV2uLfag,B001135,153.0,N00002221,S300,"S4NC00089,H2NC05074",31054,400054,21787,Richard Burr,,29548,Richard Burr,,0,2022-12-31,21157904
45,46,Butterfield,George,Kenneth,Jr.,G.K.,G. K. Butterfield,4/27/47,M,rep,NC,1,0,Democrat,https://butterfield.house.gov,2080 Rayburn House Office Building Washington DC 20515-3301,202-225-3101,,http://butterfield.house.gov/rss/press-releases.xml/,GKButterfield,congressmangkbutterfield,GKBNC01,UCbodCVgLfcbaep49L1M-mqA,B001251,1761.0,N00027035,,H4NC01046,1013540,400616,41077,G.K. Butterfield,,20340,G. K. Butterfield,,0,2022-12-31,432676344
46,47,Calvert,Ken,S.,,,Ken Calvert,6/8/53,M,rep,CA,42,0,Republican,https://calvert.house.gov,2205 Rayburn House Office Building Washington DC 20515-0542,202-225-1986,,http://calvert.house.gov/news/rss.aspx,KenCalvert,70063393423,RepKenCalvert,UC5MEj7YOX_QdKoqD_HRxP3A,C000059,165.0,N00007099,,H2CA37023,26709,400057,26777,Ken Calvert,,29323,Ken Calvert,1663244836307357696,1,2022-12-31,22545491
47,48,Capito,Shelley,Moore,,,Shelley Moore Capito,11/26/53,F,sen,WV,0,2,Republican,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley,,SenCapito,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,C001047,1676.0,N00009771,S372,"H0WV02138,S4WV00159",83737,400061,11701,Shelley Moore Capito,,20146,Shelley Moore Capito,1663170072972763138,1,2022-12-31,193794406
48,49,Carson,André,,,,André Carson,10/16/74,M,rep,IN,7,0,Democrat,https://carson.house.gov,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,,http://carson.house.gov/index.php?option=com_bca-rss-syndicator&amp;feed_id=1,RepAndreCarson,CongressmanAndreCarson,repandrecarson,UCprUnnEgM2VUGmAKSaZXCSw,C001072,1889.0,N00029513,,H8IN07184,1027364,412258,84917,Andre Carson,,20757,André Carson,1663188016414830592,1,2022-12-31,199325935
49,50,Carter,John,R.,,,John R. Carter,11/6/41,M,rep,TX,31,0,Republican,https://carter.house.gov,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,,http://carter.house.gov/common/rss/?rss=40,JudgeCarter,judgecarter,repjohncarter,UC9pkaOrhPfouzkJ8oAdI-1w,C001051,1752.0,N00025095,,H2TX31044,1004257,400068,49296,John Carter,,20356,John Carter (Texas politician),1663236927477129216,1,2022-12-31,18030431
50,51,Cassidy,Bill,,,,Bill Cassidy,9/28/57,M,sen,LA,0,2,Republican,https://www.cassidy.senate.gov,520 Hart Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact,,SenBillCassidy,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,C001075,1925.0,N00030245,S373,"H8LA00017,S4LA00107",1030546,412269,69494,Bill Cassidy,,20919,Bill Cassidy,1663263447159586822,1,2022-12-31,1017500185356853248
51,52,Castor,Kathy,,,,Kathy Castor,8/20/66,F,rep,FL,14,0,Democrat,https://castor.house.gov,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,,http://castor.house.gov/news/rss.aspx,USRepKCastor,USRepKathyCastor,RepKathyCastor,UC_irxhmLqVenTFPxDxznG6g,C001066,1839.0,N00027514,,"H6FL11126,H6FL11134",1022874,412195,53825,Kathy Castor,,20708,Kathy Castor,1663168642253479939,1,2022-12-31,1880674038
